drive,g,seed,t,rank_C,rho,rank,PR,frob
sin,0.3,0,235.0,1,39.32024992172425,49,1.096796089446787,39.32284855703764
sin,0.3,0,236.0,1,39.38734548712042,49,1.095549238604743,39.38988332354198
sin,0.3,0,237.0,1,39.453707606366955,49,1.094320810376118,39.4561861183384
sin,0.3,0,238.0,1,39.519344284947074,49,1.0931104728997576,39.521764909266416
sin,0.3,0,239.0,1,39.58426344133621,49,1.0919179018186946,39.58662757818891
sin,0.3,0,240.0,1,39.648472907935044,49,1.090742780070528,39.65078192189421
sin,0.3,0,241.0,1,39.711980431993,49,1.089584797684794,39.71423565298972
sin,0.3,0,242.0,1,39.77479367652233,49,1.088443651587038,39.77699640078711
sin,0.3,0,243.0,1,39.83692022120262,49,1.087319045409351,39.839071712179035
sin,0.3,0,244.0,1,39.89836756327648,49,1.0862106893071077,39.90046905250749
sin,0.3,0,245.0,1,39.959143118435286,49,1.0851182997816848,39.96119580642389
sin,0.3,0,246.0,1,40.019254221696734,49,1.0840415995089212,40.0212592787408
sin,0.3,0,247.0,1,40.07870812827224,48,1.0829803171731198,40.080666695275426
sin,0.3,0,248.0,1,40.13751201442643,48,1.0819341873063644,40.13942520368499
sin,0.3,0,249.0,1,40.19567297832677,48,1.080902950132974,40.19754187429387
sin,0.3,0,250.0,1,40.25319804088517,48,1.0798863514188926,40.25502370091268
sin,0.3,0,251.0,1,40.31009414659029,48,1.0788841423258357,40.31187760164939
sin,0.3,0,252.0,1,40.366368164331504,48,1.0778960792700236,40.36811041971233
sin,0.3,0,253.0,1,40.42202688821383,48,1.076921923785324,40.42372892420534
sin,0.3,0,254.0,1,40.477077038365316,48,1.0759614423906623,40.47873981091506
sin,0.3,0,255.0,1,40.531525261734444,48,1.075014406461525,40.53314970309033
sin,0.3,0,256.0,1,40.58537813288094,48,1.0740805921054302,40.5869651522139
sin,0.3,0,257.0,1,40.63864215475677,48,1.0731597800411965,40.64019263876636
sin,0.3,0,258.0,1,40.691323759479985,48,1.0722517554819158,40.69283857298248
sin,0.3,0,259.0,1,40.7434293090998,48,1.0713563080214497,40.74490929559991
sin,0.3,0,260.0,1,40.79496509635416,48,1.070473231524376,40.79641107860038
sin,0.3,0,261.0,1,40.845937345418655,48,1.0696023240192178,40.847350125943386
sin,0.3,0,262.0,1,40.89635221264829,48,1.068743387594882,40.8977325742925
sin,0.3,0,263.0,1,40.94621578731082,48,1.0678962283001676,40.94756449373426
sin,0.3,0,264.0,1,40.99553409231271,48,1.0670606560462457,40.99685188848985
sin,0.3,0,265.0,1,41.04431308491719,48,1.0662364845120207,41.04560069761945
sin,0.3,0,266.0,1,41.092558657454994,48,1.0654235310522537,41.093816795719434
sin,0.3,0,267.0,1,41.140276638027125,48,1.0646216166083797,41.1415059936125
sin,0.3,0,268.0,1,41.187472791200825,48,1.0638305656218938,41.18867403903062
sin,0.3,0,269.0,1,41.23415281869723,48,1.0630502059502596,41.23532661729116
sin,0.3,0,270.0,1,41.280322360072866,48,1.062280368785223,41.28146935196587
sin,0.3,0,271.0,1,41.325986993392995,48,1.0615208885734633,41.3271078055431
sin,0.3,0,272.0,1,41.371152235897924,48,1.0607716029395127,41.37224748008325
sin,0.3,0,273.0,1,41.41582354466298,48,1.0600323526108502,41.4168938178673
sin,0.3,0,274.0,1,41.460006317250325,48,1.0593029813451156,41.461052202038736
sin,0.3,0,275.0,1,41.50370589235474,48,1.0585833358593644,41.50472795723889
sin,0.3,0,276.0,1,41.54692755044214,48,1.0578732657613004,41.54792635023556
sin,0.3,0,277.0,1,41.589676514381104,48,1.0571726234824228,41.59065259054517
sin,0.3,0,278.0,1,41.63195795006812,48,1.056481264213024,41.63291183104853
sin,0.3,0,279.0,1,41.67377696704587,48,1.055799045838974,41.67470916860011
sin,0.3,0,280.0,1,41.715138619114775,48,1.0551258288802514,41.71604964463095
sin,0.3,0,281.0,1,41.75604790493854,48,1.0544614764311417,41.75693824574538
sin,0.3,0,282.0,1,41.796509768642196,48,1.053805854102066,41.79737990431143
sin,0.3,0,283.0,1,41.83652910040523,48,1.0531588299629855,41.83737949904506
sin,0.3,0,284.0,1,41.876110737046844,48,1.0525202744883306,41.8769418555884
sin,0.3,0,285.0,1,41.915259462605974,48,1.0518900605034052,41.916071747081716
sin,0.3,0,286.0,1,41.95398000891468,48,1.051268063132221,41.95477389472962
sin,0.3,0,287.0,1,41.992277056165314,48,1.05065415974673,41.99305296836118
sin,0.3,0,288.0,1,42.0301552334721,48,1.0500482299173794,42.03091358698414
sin,0.3,0,289.0,1,42.06761911942571,48,1.0494501553649922,42.068360319333465
sin,0.3,0,290.0,1,42.10467324264311,48,1.048859819913897,42.1053976844139
sin,0.3,0,291.0,1,42.1413220823105,48,1.0482771094462837,42.14203015203701
sin,0.3,0,292.0,1,42.17757006872109,48,1.0477019118577475,42.178262143352406
sin,0.3,0,293.0,1,42.213421583806465,48,1.0471341170139878,42.214098031373446
sin,0.3,0,294.0,1,42.248880961662714,48,1.0465736167086144,42.24954214149741
sin,0.3,0,295.0,1,42.28395248907103,48,1.0460203046220469,42.28459875202005
sin,0.3,0,296.0,1,42.318640406011895,48,1.0454740762814567,42.319272094644866
sin,0.3,0,297.0,1,42.35294890617481,48,1.0449348290217306,42.35356635498685
sin,0.3,0,298.0,1,42.386882137461555,48,1.0444024619474312,42.38748567307098
sin,0.3,0,299.0,1,42.42044420248465,48,1.0438768758957009,42.421034143825366
sin,0.3,1,0.0,50,0.30173826616065064,50,36.32363495999659,2.1340280894601302
sin,0.3,1,1.0,2,0.30129917419234103,50,36.31864250189025,2.1315864583803275
sin,0.3,1,2.0,3,0.3034977611817169,50,36.31032510776649,2.1299195155627135
sin,0.3,1,3.0,4,0.30726686944674925,50,36.284497307498015,2.1306662307268995
sin,0.3,1,4.0,5,0.30365974732602236,50,36.24544640300122,2.1319103693216728
sin,0.3,1,5.0,5,0.31048464919367225,50,36.18385186713272,2.1345967861201873
sin,0.3,1,6.0,5,0.3658664063196457,50,36.04993606106001,2.141127383534768
sin,0.3,1,7.0,5,0.44011175227184246,50,35.90804158224288,2.148628683089435
sin,0.3,1,8.0,5,0.4458086755811461,50,35.7697770293798,2.1562979703638367
sin,0.3,1,9.0,5,0.5046183189202591,50,35.4982235397565,2.1696430206732558
sin,0.3,1,10.0,5,0.5875296167365908,50,35.17341014458336,2.186099497240079
sin,0.3,1,11.0,5,0.5963435368706068,50,34.92844555391512,2.1995006332431153
sin,0.3,1,12.0,5,0.6471222498523215,50,34.53786746238648,2.21868452952665
sin,0.3,1,13.0,4,0.7473705537789798,50,33.99695336356522,2.2452558938921734
sin,0.3,1,14.0,4,0.7705562197465737,50,33.60458480156219,2.2661991053142443
sin,0.3,1,15.0,4,0.8002587530966899,50,33.14168812870281,2.289920051289184
sin,0.3,1,16.0,4,0.9130673336256976,50,32.42427313971879,2.325858575270243
sin,0.3,1,17.0,4,0.9616766678594288,50,31.84162676283432,2.3572843215093964
sin,0.3,1,18.0,4,0.9710389675315064,50,31.34831352584622,2.3847420566793667
sin,0.3,1,19.0,4,1.0800353965525695,50,30.561044743152916,2.4268060666141524
sin,0.3,1,20.0,4,1.160668270688739,50,29.779910135564847,2.4712164859177954
sin,0.3,1,21.0,4,1.1649704091839643,50,29.256670016069656,2.5035483273216137
sin,0.3,1,22.0,4,1.24809434321902,50,28.522407340514658,2.547055510577571
sin,0.3,1,23.0,4,1.3577893862904835,50,27.60922783283463,2.603726293415366
sin,0.3,1,24.0,4,1.3779885641427385,50,27.01367991790501,2.644638057422212
sin,0.3,1,25.0,5,1.4219872025133329,50,26.406656095488707,2.6859874690221504
sin,0.3,1,26.0,5,1.5451186264723116,50,25.494268392026584,2.7493065505456666
sin,0.3,1,27.0,5,1.5974874943180772,50,24.793274154193774,2.802849880019449
sin,0.3,1,28.0,5,1.609491093479917,50,24.29794578944205,2.8427022683135537
sin,0.3,1,29.0,5,1.7198353654295029,50,23.524018500037435,2.9037803377567877
sin,0.3,1,30.0,5,1.806539723991753,50,22.7559812659531,2.9694192907964414
