drive,g,seed,t,rho_W,frob_W,g_eff,mean_d2,rho_DW
white,1.0,1,59.0,0.9487830377626738,6.68393844007821,0.7390047909648212,0.6112229175119087,
white,1.0,1,60.0,0.9479607082161339,6.677009356085899,0.731818931261224,0.6006387051484053,0.8256096435165549
white,1.0,1,61.0,0.9468675592176373,6.669947376038795,0.7376675380986063,0.6115705077278465,
white,1.0,1,62.0,0.9459249502286096,6.662865865733453,0.7650200490333535,0.659164025971705,
white,1.0,1,63.0,0.9447128937741872,6.655831817633784,0.7336352039606993,0.6074711419337916,
white,1.0,1,64.0,0.9432994004187292,6.648845483469783,0.6899735748063891,0.5384463533319604,
white,1.0,1,65.0,0.9421408042582267,6.641729808892513,0.7464273389114048,0.6315135470035419,0.8324190763316152
white,1.0,1,66.0,0.9412492863343876,6.634531139850084,0.6895320885054654,0.5400804960131822,
white,1.0,1,67.0,0.9407912041080567,6.627490781365281,0.7402697975834308,0.6238092373026909,
white,1.0,1,68.0,0.9405759808370657,6.620538055307702,0.7142348064565699,0.5819229067919044,
white,1.0,1,69.0,0.9400501209726616,6.6135532098212355,0.6821489963734825,0.5319352725205675,
white,1.0,1,70.0,0.9389224338992811,6.606631097493467,0.6808346735355647,0.5309984099235714,0.7797358934536225
white,1.0,1,71.0,0.9379866981191111,6.599727597815529,0.690020581611132,0.5465653214312826,
white,1.0,1,72.0,0.9373249875118921,6.592784134613711,0.685550236106816,0.5406433454421006,
white,1.0,1,73.0,0.9365908904628012,6.585721700862431,0.6916895602332966,0.5515510266623597,
white,1.0,1,74.0,0.9359110430548101,6.5787430717504005,0.679691656664193,0.5337133066343128,
white,1.0,1,75.0,0.9353546167388682,6.571838708173485,0.7124022415537946,0.5875526194518345,0.7564353014993209
white,1.0,1,76.0,0.934321146814504,6.565044662446717,0.682114968675681,0.5397713066052754,
white,1.0,1,77.0,0.9332676525287928,6.558199155434627,0.684814560529354,0.5451886098969878,
white,1.0,1,78.0,0.9319641982073674,6.551383054353123,0.699769181769619,0.5704448218731772,
white,1.0,1,79.0,0.9307831695978293,6.54463139280157,0.6933552834205655,0.5611917532697243,
white,1.0,1,80.0,0.9297038293575778,6.537744146051108,0.7041159258620118,0.5799659518700457,0.7105231799121288
white,1.0,1,81.0,0.928538290316543,6.530764045032094,0.728220563925203,0.6216814307341472,
white,1.0,1,82.0,0.9274986811398889,6.523879984933669,0.7325258547972654,0.6303822761930624,
white,1.0,1,83.0,0.9265429501082437,6.517117961334415,0.7342480856926997,0.6346649087091086,
white,1.0,1,84.0,0.9257505821426373,6.510317779384308,0.7058125625562791,0.5876847170145115,
white,1.0,1,85.0,0.9249300819450137,6.503527598050942,0.6750467896534331,0.5386910768029088,0.716431281741432
white,1.0,1,86.0,0.9239357599455328,6.496742303356826,0.7638755388267865,0.6912321497191333,
white,1.0,1,87.0,0.9228772286100161,6.489964279280658,0.7052173931558852,0.5903797073651742,
white,1.0,1,88.0,0.9216543107225469,6.48325793830951,0.7122376968140453,0.6034389170827285,
white,1.0,1,89.0,0.9205774485031388,6.476567324425698,0.7197198149368655,0.6174576202105555,
white,1.0,1,90.0,0.919509724321951,6.46982035058907,0.6919369046579855,0.5718979633303944,0.6909442803591666
white,1.0,1,91.0,0.9188715142524225,6.463067443651776,0.7167115561555992,0.6148673646274295,
white,1.0,1,92.0,0.9179469023783273,6.456221406331739,0.7061105030799703,0.5980789488601692,
white,1.0,1,93.0,0.9170733147626549,6.449414357634941,0.7218260574859864,0.6263175132161528,
white,1.0,1,94.0,0.9161227264736076,6.442489218081977,0.6654554016389708,0.5334583444977657,
white,1.0,1,95.0,0.9154368655664913,6.4356354639814795,0.7026168893129129,0.5959698671971281,0.7829470600412642
white,1.0,1,96.0,0.91518820932039,6.42879755296173,0.6899682650781969,0.5759287206861212,
white,1.0,1,97.0,0.9145195088665093,6.422005916496987,0.6952914313133624,0.5860873612792801,
white,1.0,1,98.0,0.9138021560879187,6.41529995802853,0.6874801408126129,0.5741910041789252,
white,1.0,1,99.0,0.9127670299384586,6.408751838258516,0.6695910405768012,0.5458110983647574,
white,1.0,1,100.0,0.9119899492242122,6.402192564490124,0.7054312909136545,0.6070465267797452,0.7727104735533988
white,1.0,1,101.0,0.9112221258615146,6.395478423851102,0.7307538452350598,0.6527789579948886,
white,1.0,1,102.0,0.9102700604685532,6.388713205209552,0.6995086744652047,0.5994175135099082,
white,1.0,1,103.0,0.909268909416975,6.38204214623258,0.6930622052519091,0.5896510833392028,
white,1.0,1,104.0,0.9083360313360721,6.375365934814729,0.6883645100125206,0.5829035655616231,
